source_id,material_id,sludge_fraction_dry,firing_peak_C,heating_rate_C_min,hold_s,property,value,unit,basis,source_kind,locator,calibration_role,uncertainty
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,diametric_firing_shrinkage,3.24,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,height_firing_shrinkage,3.54,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,bulk_density,2122,kg/m3,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,ignition_weight_loss,4.7,percent,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,compressive_strength,41.9,MPa,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,control,0,1100,0.7,10800,estimated_thermal_conductivity,1.09,W/(m K),reported_endpoint,derived_from_evidence,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,diametric_firing_shrinkage,1.78,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,height_firing_shrinkage,1.7,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,bulk_density,2030,kg/m3,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,ignition_weight_loss,5.5,percent,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,compressive_strength,27.9,MPa,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,ETP22,0.25,1100,0.7,10800,estimated_thermal_conductivity,0.96,W/(m K),reported_endpoint,derived_from_evidence,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,diametric_firing_shrinkage,5.23,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,height_firing_shrinkage,4.47,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,bulk_density,1876,kg/m3,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,ignition_weight_loss,11.3,percent,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,compressive_strength,14.3,MPa,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP10,0.25,1100,0.7,10800,estimated_thermal_conductivity,0.77,W/(m K),reported_endpoint,derived_from_evidence,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,diametric_firing_shrinkage,3,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,height_firing_shrinkage,3.2,percent,reported_endpoint,measured_public_data,PDF p9 Table3,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,bulk_density,1866,kg/m3,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,ignition_weight_loss,11,percent,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,compressive_strength,12.04,MPa,reported_endpoint,measured_public_data,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
SRC_MOHAJERANI_2019_BIOSOLIDS,WTP17-29,0.25,1100,0.7,10800,estimated_thermal_conductivity,0.75,W/(m K),reported_endpoint,derived_from_evidence,PDF p10 Table4,unassigned_available_for_condition_or_material_holdout,
